id,label,score,sentiment
2999,0,1.1634100000000001e-05,neg
3002,0,4.07092e-05,neg
3036,0,0.000260652,neg
3061,0,0.00011193299999999999,neg
3074,0,0.00013090200000000001,neg
3104,0,1.1593900000000001e-05,neg
3109,0,0.000106083,neg
3113,0,1.74258e-05,neg
3118,0,0.0024309,neg
3125,0,0.000266999,neutral
3134,0,1.74672e-05,neg
3142,0,1.74191e-05,neg
3146,0,0.000130521,neg
3160,0,7.03511e-05,neg
3161,0,1.15307e-05,neg
3184,0,1.7391e-05,neg
3188,0,4.08068e-05,neg
3191,0,1.14741e-05,neutral
3200,0,1.74057e-05,neg
3221,0,1.75176e-05,neg
3239,0,0.000130707,neg
3244,0,0.000466512,neg
3254,0,1.74235e-05,neg
3257,0,7.01057e-05,neg
3274,0,0.00011870799999999999,neg
3285,0,1.75145e-05,neg
3288,0,1.7471e-05,neg
3318,0,0.00024176799999999998,neg
3335,0,1.15724e-05,neg
3336,0,8.791129999999999e-05,neg
3340,0,0.000181071,neg
3368,0,4.09497e-05,neg
3413,0,2.33617e-05,neg
3454,0,1.74359e-05,neg
3457,0,0.000227221,neg
3471,0,0.0007096180000000001,neg
3485,0,0.00010643299999999999,neg
3490,0,1.7451e-05,neg
3504,0,1.1491300000000001e-05,neg
3510,0,0.0012954000000000002,neg
3512,0,9.44008e-05,neg
3526,0,1.75081e-05,neg
3535,0,1.15082e-05,neg
3566,0,4.08627e-05,neg
3600,0,0.000764432,neutral
3608,0,7.6219e-05,neg
3612,0,0.00014926700000000002,neg
3630,0,1.16491e-05,neg
3636,0,0.000460264,neg
3656,0,0.000112484,neg
3671,0,0.000112489,neg
3679,0,1.75033e-05,neg
3689,0,0.000472686,neg
3707,0,0.000130469,neg
3738,0,2.34423e-05,neg
3742,0,0.00016711,neg
3753,0,0.00013047,neg
3758,0,1.15426e-05,neg
3759,0,4.70904e-05,neg
3760,0,2.3529400000000002e-05,neg
3761,0,7.03296e-05,neg
3767,0,0.00150372,neg
3769,0,7.62271e-05,neg
3770,0,1.1658599999999999e-05,neg
3773,0,0.00016722700000000002,neg
3794,0,4.69279e-05,neg
3809,0,1.7501700000000002e-05,neg
3812,0,8.82757e-05,neg
3823,0,8.84586e-05,neg
3838,0,0.00011824,neg
3853,0,4.68841e-05,neutral
3880,0,2.34743e-05,neg
3893,0,0.000112231,neg
3897,0,0.000131269,neg
3900,0,0.000175063,neg
3930,0,2.33776e-05,neg
3962,0,0.000234245,neg
3970,0,8.20307e-05,neg
4002,0,4.7034e-05,neg
4037,0,2.3272800000000002e-05,neg
4040,0,1.75021e-05,neg
4054,0,1.1633e-05,neg
4064,0,1.16199e-05,neg
4079,0,4.0710799999999997e-05,neg
4089,0,4.69795e-05,neg
4091,0,0.00013073799999999998,neg
4104,0,1.74471e-05,neg
4113,0,0.000149097,neg
4115,0,0.000111999,neg
4121,0,1.1522e-05,neg
4127,0,0.00020981,neg
4130,0,2.34561e-05,neg
4138,0,0.00039400800000000005,neg
4162,0,0.00147406,neg
4173,0,2.34575e-05,neg
4179,0,0.000234296,neg
4212,0,1.1460699999999999e-05,neg
4223,0,0.000180492,neutral
4241,0,0.000235365,neg
4246,0,8.20682e-05,neg
4253,0,0.00010031700000000001,neg
4273,0,9.446360000000001e-05,neg
4316,0,0.000334084,neg
4333,0,0.000168077,neg
4335,0,4.07953e-05,neg
4336,0,1.74072e-05,neg
4337,0,1.73915e-05,neg
4350,0,1.16664e-05,neg
4356,0,1.15951e-05,neg
4397,0,0.00011235299999999999,neg
4412,0,1.15628e-05,neg
4418,0,0.00132559,neg
4431,0,2.33461e-05,neutral
4438,0,1.15957e-05,neg
4442,0,4.69208e-05,neg
4445,0,0.000100147,neg
4458,0,4.07272e-05,neg
4467,0,0.0007454380000000001,neg
4471,0,7.02687e-05,neg
4474,0,0.000118719,neg
4487,0,7.03015e-05,neg
4499,0,7.002270000000001e-05,neg
4511,0,0.000130559,neg
4520,0,0.000234561,neutral
4531,0,4.06996e-05,neg
4543,0,4.08305e-05,neg
4562,0,0.00116541,neutral
4568,0,1.1509100000000001e-05,neg
4569,0,0.000248664,neg
4573,0,4.6885e-05,neg
4579,0,4.69759e-05,neg
4580,0,1.1629000000000002e-05,neutral
4585,0,2.3283e-05,neg
4590,0,4.09713e-05,neg
4626,0,1.75019e-05,neg
4627,0,4.06827e-05,neg
4630,0,1.1501500000000002e-05,neutral
4648,0,1.16227e-05,neg
4649,0,0.000520821,neg
4665,0,5.27222e-05,neg
4667,0,0.000112445,neg
4668,0,1.1600799999999999e-05,neg
4684,0,5.2676499999999996e-05,neg
4689,0,2.34589e-05,neg
4691,0,0.00016743599999999997,neg
4692,0,0.00011825799999999999,neg
4703,0,4.09939e-05,neg
4706,0,2.32956e-05,neg
4707,0,1.1608299999999999e-05,neg
4713,0,1.73929e-05,neg
4727,0,0.000297369,neg
4752,0,0.000272515,neutral
4764,0,4.0655300000000004e-05,neg
4786,0,5.27104e-05,neg
4793,0,0.000241803,neg
4798,0,0.00014884299999999998,neg
4807,0,1.1581e-05,neg
4812,0,2.3433800000000003e-05,neg
4819,0,1.74592e-05,neutral
4823,0,0.0008737,neg
4827,0,7.63194e-05,neg
4831,0,0.00010030700000000001,neg
4835,0,0.000167445,neg
4844,0,9.998489999999999e-05,neg
4860,0,1.14769e-05,neg
4865,0,4.09635e-05,neg
4876,0,1.1467200000000001e-05,neg
4892,0,5.2706999999999995e-05,neg
4916,0,2.33576e-05,neg
4937,0,1.16574e-05,neg
4942,0,0.00047226300000000006,neg
4954,0,0.00029712,neg
4962,0,4.08761e-05,neg
4971,0,4.07697e-05,neg
4981,0,4.6893999999999995e-05,neg
4990,0,1.15342e-05,neg
4995,0,0.00188858,neg
5004,0,2.34688e-05,neutral
5010,0,0.00011844399999999999,neg
5011,0,0.000198747,neg
5030,0,2.3461500000000002e-05,neg
5032,0,0.000198878,neg
5043,0,1.15547e-05,neg
5070,0,9.983790000000001e-05,neg
5099,0,4.0951399999999996e-05,neutral
5134,0,0.00087368,neg
5138,0,0.000130564,neg
5141,0,0.000131159,neg
5144,0,1.74896e-05,neg
5148,0,1.1565199999999999e-05,neg
5154,0,8.202969999999999e-05,neg
5161,0,0.000241384,neg
5165,0,7.04738e-05,neg
5167,0,0.000273635,neg
5170,0,9.41086e-05,neg
5171,0,2.3420300000000003e-05,neg
5183,0,8.788610000000001e-05,neg
5193,0,1.14918e-05,neg
5195,0,0.000199137,neg
5204,0,5.72994e-06,neg
3,1,0.00226768,neg
5,1,0.00234411,neg
55,1,2.8920500000000002e-05,neg
133,1,0.0006823689999999999,neg
162,1,0.00151082,neg
175,1,0.00279924,neg
194,1,0.00254571,neg
203,1,0.0020913,neutral
211,1,0.00100022,neutral
216,1,0.0023568,neg
249,1,0.00191651,neg
250,1,0.00033772,neg
258,1,0.00209247,neg
270,1,0.00270512,neg
274,1,0.00206365,neg
279,1,0.00243883,neg
293,1,0.000385378,neg
299,1,0.00255855,neg
304,1,0.000706389,neg
339,1,5.7325199999999995e-06,neg
353,1,0.00263467,neutral
356,1,0.0027943,neg
365,1,0.00299653,neg
368,1,0.00111913,neg
372,1,0.0016805999999999998,neg
373,1,0.000778405,neutral
384,1,0.00241228,neg
409,1,0.00259755,neg
416,1,0.00251657,neg
