source,target,weight
62159269,89973818,2
17799209,43973229,2
64130465,99826277,5
64130465,84413043,6
45111496,97323196,1
84623525,8227373,1
59182739,20471779,2
54153353,72173705,2
89598779,65116894,1
95135529,84360501,1
89074082,15896377,1
55476069,26987973,15
41887188,43973229,2
57235422,18783091,1
45111496,18783091,1
87432494,15896377,2
70947459,65116894,1
67439129,75486987,7
24719649,28344085,1
12908472,41683487,2
84350983,65116894,1
34570970,15896377,2
69125066,85538292,1
74063482,38778634,1
86787881,40487974,2
88825505,72173705,1
70947459,43973229,1
3669659,36954083,2
60734009,6845856,2
72943648,84895689,1
13886055,20630993,2
77204384,11377527,1
41098894,91148590,1
84350983,48520858,1
51778721,72173705,1
52180990,95026042,1
55231398,20630993,1
88563079,18783091,1
34570970,52180990,2
34159135,95026042,3
21521032,89973818,2
1100123,31079554,1
98337684,65116894,1
84623525,97323196,1
22497957,52180990,2
22512723,32379045,1
44325515,65116894,1
69687148,69608165,1
22512723,35694981,4
7902369,43973229,1
36108085,49261032,5
33479607,43232737,1
60653175,23832077,1
25699946,72173705,1
67280471,92053500,1
17833766,39212005,1
58066068,35694981,1
68233965,81776145,1
10609373,94359703,1
12908472,56333932,1
68974130,22944757,1
67202540,95026042,2
98340383,79596369,1
46833666,41066038,1
62043373,97382002,1
53195785,77075734,2
6859926,17037383,1
45111496,76145372,1
62764753,13584432,2
70251070,35694981,2
29154242,76145372,1
98340383,15088285,4
77413620,62384794,1
1625413,97382002,4
55520105,41066038,1
49778774,76145372,1
45111496,41066038,1
55520105,59533749,1
95391479,76145372,1
45111496,59533749,1
44632826,59533749,1
42549984,15710005,1
20630993,59533749,1
12168984,96596877,1
68789085,17037383,1
43372485,46074709,2
37321859,46074709,1
21042386,83164521,1
58066068,4930242,1
78505263,31751591,1
43372485,5117214,1
86208999,46074709,1
14809333,17037383,1
19986521,5256205,2
78885719,41683487,1
66955610,41683487,1
46894281,15255950,1
48829426,41683487,1
46894281,44881144,2
22497957,23687239,1
14585150,41683487,1
98056858,97382002,2
61205425,89973818,1
13238725,73720038,1
55051185,17037383,1
83058399,26987973,4
94553933,13584432,1
17487924,46074709,1
59182739,79409268,1
17559286,41683487,3
82455342,41683487,6
61157057,72829996,1
17559286,73556233,1
51378765,41683487,2
94485819,56742651,1
94485819,52465314,1
94485819,33295329,1
9596347,21199047,1
17529650,24011228,1
10441252,15972792,1
72793502,65116894,1
95135529,95391479,2
95135529,86231890,1
16937295,46292963,5
5335095,65116894,1
19465415,43232737,1
40316232,21199047,1
34982076,15972792,1
57995388,72173705,1
73438584,21199047,1
99483670,43141888,2
66243625,15972792,1
9166630,66363641,1
97945879,21199047,1
12478273,87551508,1
68004481,21199047,1
90856652,92630813,1
44290916,92630813,1
32310652,20630993,1
79307189,24140813,4
64330052,71950826,3
95391479,18783091,2
43395385,69608165,1
58197994,65116894,1
97190895,16926222,7
99309472,36447886,1
16926222,87679989,46
60662514,43973229,2
46037781,18783091,1
46037781,89973818,1
70424975,26532213,1
89278590,48520858,1
72943648,39477491,1
72943648,9144083,1
19332856,17412318,1
47890227,60338742,1
97106266,60338742,1
39477491,74984982,1
8416647,73840845,1
8416647,56849453,1
73706213,61085536,1
42404853,60338742,1
86298302,97323196,1
79916153,61085536,1
53368243,61085536,1
68416415,59533749,1
8438125,71322781,1
76000084,23928263,1
8152867,15255950,1
81851038,17852225,1
228350,81457089,1
21647425,60338742,1
61085536,97382002,1
89699416,60338742,1
62391870,59533749,1
36904441,60338742,1
38928361,59533749,1
3269605,72173705,4
