,name,followers_count,total_number_of_tweets,location,language,tweet_count
69,Mike Meins (I support Scheer) ツ🇨🇦🍺🍁,1797,74126,Edmonton,en,2
70,Shaun Dakin,5058,238249,"Washington, DC",en,2
71,¯\_(ツ)_/¯,184,1732,United States,en,2
72,Dan Geiger,635,19673,"Brooklyn, NY",en,2
73,Kyle Cardine,497,4973,"Washington, DC",en,2
74,Lisa Tozzi,25552,61462,"New York, USA",en,2
75,Franiworks,3318,70357,United States,en,2
76,Caroline  🇸🇪💜🇺🇸 🌊 #FBR #RESIST,6229,28006,Space,en,2
77,Alexa,319,8686,WA 🌲,en,2
78,George M Johnson,45507.0,69708,"Brooklyn, NY",en,2
79,JustLeslie,265,28211,USA,en,2
80,Cristina Garcia,7474.0,7697,"Bell Gardens, CA",en,2
81,Sandra Glab,2454.0,7577,London,en,2
82,Trent Partridge,183.0,27389,"Fort Lauderdale, FL",en,2
83,Ryan Mac,33144.0,32674,"If you were there, beware",en,2
84,MLSCazessus💎🌊,8632,107300,Southtern Califormia ,en,2
85,Shirley,1432,56135,United States,en,2
86,Mark,35,504,New York City,en,2
87,I❤️Mueller,1880.0,8909,"Coral Gables, FL",en,2
88,Dancing Queen🍷,1755.0,78460,Chemin de traverse,fr,2
89,jude,1441.0,28330,united states,en,2
90,Jens,27.0,2834,Sweden,sv,2
91,D,1528,39237,United States,en,2
92,Rena,4738,208581,NYC,en,2
93,Gamaliel Hasani I,4236.0,255570,Universe 🌎,en,2
94,Tabea,221.0,9806.0,"Mainz, Deutschland",de,2
95,Jason Wells,5149.0,22829,Los Angeles,en,2
96,Wife of Navy Veteran™,7137,6066,In My Own Little Corner,en,2
97,Suzanne∼☮,2856.0,103054,New England  ∼ ,en,2
98,mamahorbs,1426,21016,United States,en,2
99,Karen,575,57082,United States,en,2
100,❤️ ⚽ & Xavi 4Ever,235,51319,Never never Wonderland ,en,2
101,//SFBA+MN@❤👧💭//,1115.0,15050,SF bay area CA / Mpls burbs MN,en,2
102,VICTORY,1009,98660,United States,en,2
103,mama,169,1669,"San Diego, CA",en,2
104,Love Churchill,1045,28061,"Kentucky, USA",en,2
105,Stephanie,5777,202849,"California, USA",en,2
106,Stephanie,5777,202849,United States,en,2
107,Rose,1216,45715.0,United States,en,2
108,Chowkidar Sunny chaubey 🚩,300.0,97566,Hindusthan,en,2
109,KitKat🍷🍫,2333.0,28021,"Too close to DC, United States",en,2
110,Linda Marvel Miranda,135,5341,"New Haven, CT",en,2
111,Amanda,233,8415,Brasil,en,2
112,Esperance87#metoo,1185.0,56842,France Isle,fr,2
113,Pontus ⚔️ Andersson,1820,20929,Värdeavgrunden,sv,2
114,THEConservativeMovement,8031.0,81773.0,United States,en,2
115,Sally,264.0,18888,USA,en,2
116,Carol Gray,113,1949,United States,en,2
117,Donald Smith,114,7231,"Memphis, TN",en,2
118,David Mack,65345.0,45824,New York,en,2
119,*itching my scalp*,247.0,13829,"Brooklyn, NY",en,2
120,E,418,26959,United States,en,2
121,BuzzFeed France News,10092.0,2769,Paris,fr,2
122,Cindy 🐬,16113.0,6710,Wherever I go is where I am,en,2
123,Manfred Rosenberg,5306.0,467489,Canada,en,2
124,Michelle Atkinson,11,232,"Halifax, Nova Scotia",en,2
125,mat honan,80461,78590,"San Francisco, CA",en,2
126,#RESIST #RISE UP,650.0,52273,USA,en,2
127,The World Vs Trump,11699,15756,Work in Boston - Live WMass.,en,2
128,Christine,5.0,27,"California, USA",en,2
129,Teresa,277,4090,"Texas, USA",en,2
130,#ByeVAWA,651.0,106956,Chicago,en,2
131,Julia,121.0,1726,"Los Angeles, CA",en,2
132,LlL MISS ICE QUEEN,1966.0,5508,NYC ,en,2
133,JP,483,30641,"New Jersey, USA",en,2
134,Miguel Coyliar,1879,62441,"Diggers Rest, Victoria",en,2
135,Lisa,1599,25075,"California, USA",en,2
136,Miriam Elder,59011.0,52776.0,New York,en,2
137,Lisa,1599,25075,"Austin, TX",en,2
138,Michael Blackmon,5798.0,48427,NYC,en,2
139,Al,2663,16548,"Florida, USA",en,2
140,Sarah,111,6663,United States,en,2
141,Sarah,111,6663,"Michigan, USA",en,2
142,JB,1089,219503,United States,en,2
143,Michael,167,46210,United States,en,2
144,Nancy Pelosi,2399782.0,8574.0,San Francisco,en,2
145,cold war vet #VetsResistSquadron 🌈👊🇺🇸,6860.0,38402,"South Carolina, USA",en,2
146,SteveyG,53.0,106,The 99,en,2
147,Bill,21724.0,49940,"New Jersey, USA",en,2
148,SouthernMom®,8214,340154,Low Country NC,en,2
149,カイト@ゆーりとれーちゃんに心火を燃やしてフォーリンラブ,948,35732,さくらんぼ県,es,2
150,John,3674,67566,"Alabama, USA",en,2
151,Angela,442,26786,USA,en,2
152,Lisa,1599,25075,United States,en,2
153,(((BrokeAssStuart))),23904,49374,San Francisco and New York,en,2
154,MAGA 🌹 Rose,50108,103537,"Valdosta, GA",en,2
155,Maris Kreizman,41088.0,35697,"Brooklyn, NY",en,2
156,Ben Smith,303445,124015,"Brooklyn, NY",en,2
157,Declan Cashin,20613,102803,"London, England",en,2
158,DisConnected Infrastructures & VAW 🌆,860,5399,UK & India,en,2
159,Jamie,637.0,22576,"Georgia, USA",en,2
160,Pisces,650.0,54075,"Dallas, TX",en,2
161,Sarah Mimms,10801,24294,"Washington, D.C.",en,2
162,J,57,5074,"California, USA",en,2
163,Hannah Al-Othman,16696.0,27013,London via Manchester,en,2
164,Brenda,198,12264,United States,en,2
165,Amelia,299,26655,United States,en,2
166,Pablo Manriquez,13446.0,24533,"Washington, DC",en,2
167,Carol,3706,491487,United States,en,2
168,Kate Aurthur,30971.0,63717,Los Angeles,en,2
169,GayleS,2974,78919,"Texas, USA",en,2
170,Lissandra Villa,10712,16314,"Washington, DC",en,2
171,Sybelle Silverphoenix,1699.0,3767,New York City,en,2
172,Beccajo *shark lover,1954.0,10373,United States,en,2
173,Bill Watkins,964,28425,"Los Angeles, CA",en,2
174,Rivka Joseph,136.0,6586.0,"Cleveland, OH",en,2
175,Erin,516.0,11572,"Boston, MA",en,2
176,Julia Marie,1628,16390,"Chicago, IL",en,2
177,Jason,391,12251,VA,en,2
178,Kris Conner,366,25174,Dagobah System,en,2
179,Catherine Edwards,1355.0,3713.0,"Stockholm, Sweden",en,2
180,kassy,10675.0,15984,"London, England",en,2
181,Mollie Shafer-Schweig,1118.0,7428,"Brooklyn, NY",en,2
182,Kim🦉,8141.0,38315,Michigan,en,2
183,Jay,212,7661,United States,en,2
184,Devin Nunez's Egg 🐣,589,51402,Planet Earth,en,2
185,colleen perron,629,23642,"Seattle, WA",en,2
186,Ashly Perez,196229,21160,LA,en,2
187,Api Drama,279,56494,"Kotchandpur, Bangladesh",en,2
188,⎛⎝☆JayeCat☆⎠⎞⚧,1366.0,114851,(On occupied Coast-Salish lands. Vancouver),en,2
189,◼◾▪Dr. ⚸ Alter Account MdB,305.0,9792,Weltall im Herbst,de,2
190,Scarlet O'hara,1924.0,275178,INA - Immortal Country,en,2
191,Michael Neeley,28037,32046.0,"Santa Cruz, CA",en,2
192,Brian,831,4867,United States,en,2
193,Krystie Lee Yandoli,5970.0,57805,"Los Angeles, CA",en,2
194,Naahledge,2652.0,140093,The Library,en,2
195,Albert Camus,1853.0,153487,"Oran, Algérie",fr,2
196,Chris,2096,14919,"Texas, USA",en,2
197,American,975.0,14486.0,United States,en,2
198,Nancy,257,34542,"Pennsylvania, USA",en,2
199,Nancy,257,34542,"New Jersey, USA",en,2
200,Robert,433.0,5824,United States,en,2
201,Amir Talai,8718.0,70098.0,"Douchetown, USA",en,2
202,Dan,2433,68708,"Ohio, USA",en,2
203,Carmen 💫,446.0,19489,"Atlanta, GA",en,2
204,Linda,38,1156,"Virginia, USA",en,2
205,JT,234,35140,"Chicago, IL",en,2
206,9/10 Of A Lawyer,25.0,5214.0,"Philadelphia, PA",en,2
207,Kathy,881.0,71406,"Aurora, Illinois",en,2
208,{🌟}🥀 Saphina 🥀 {🌟},36823,105282,United States,en,2
209,Freyja Liv,608,34307,Stolen Wichita Land,en,2
210,Kat,2126,128740,"Arizona, USA",en,2
211,BuzzFeedNewsDE,8025.0,6545,"Berlin, Deutschland",de,2
212,Marley Monacello,68,191,"Immokalee, FL",en,2
213,@JaimieSeaton,2275.0,41922,U.S.A.,en,2
214,hose,1002.0,196551,"Midwest is the Best, USA",en,2
215,Linda,38,1156,"New Jersey, USA",en,2
216,Linda,38,1156,United States,en,2
217,paul🇬🇧🇨🇮✝️🐶,782,43439,United Kingdom,en,2
218,Nigel ❄️☕️🏏🏉⚽️🇬🇧#FBPE #TheResistance,1527,14320,"North West, England",en,2
219,Daniel Drepper,8639.0,20931,Berlin,de,2
220,Dragon Empress,3756,79475,"California, USA",en,2
221,Nic,500.0,6302,Oklahoma,en,2
222,Keeping it Real,38,1687,United States,en,2
223,Morgen La Civita🌙,447.0,7006,Everywhere and Nowhere really,en,2
224,Ali,88,12359,California,en,2
225,Kim Katrin Milan,7980,18771,New York,en,2
226,Robin,214.0,24224,"Florida, USA",en,2
227,Jody Allard,2062,5574,"Seattle, WA",en,2
228,ResistTyranny,11383.0,98521,United States,en,2
229,Sumon 🇮🇳 SHAH RUKH KHAN 😍,1355,14872,India,en,2
230,Steve,223.0,135815,United States,en,2
231,Shawn,523,3465,"California, USA",en,2
232,Matt Berman,5567,27565,"Brooklyn, NY",en,2
233,Awesome Nurse! Lesley,3548,217564,At the beach..... #McManusstan,en,2
234,Serpiente Gris,464,108698,"Providence, RI",en,2
